local_timestamp,eeg_timestamp,label
1768153634.3658206,2754889.23095355,PromptStart_Trial_68
1768153639.3595233,2754894.22465745,PromptEnd_Trial_68
1768153639.359699,2754894.22483315,FixationStart_Trial_68
1768153640.361747,2754895.22688115,FixationEnd_Trial_68
1768153640.3619184,2754895.22705225,PostureStart_Trial_68
1768153643.3690457,2754898.23417965,PostureEnd_Trial_68
1768153643.3691936,2754898.23432725,TrialEnd_Trial_68
1768153643.8846295,2754898.74976315,Trial_68_Complete
1768153643.900335,2754898.76546895,Trial_69_Start
1768153643.9004574,2754898.76559035,Posture_A_Flex_your_arm_after_the_sound
1768153643.9005313,2754898.76566385,PromptStart_Trial_69
1768153648.901008,2754903.76614145,PromptEnd_Trial_69
1768153648.9011438,2754903.76627785,FixationStart_Trial_69
1768153649.9133914,2754904.77852535,FixationEnd_Trial_69
1768153649.9135332,2754904.7786660497,PostureStart_Trial_69
1768153652.930268,2754907.79540195,PostureEnd_Trial_69
1768153652.9304209,2754907.79555485,TrialEnd_Trial_69
1768153653.4427125,2754908.30784605,Trial_69_Complete
1768153653.4604313,2754908.32556555,Trial_70_Start
1768153653.4605668,2754908.32570075,Posture_A_Rest_your_arm_flexed_after_the_sound
1768153653.4606473,2754908.32578035,PromptStart_Trial_70
1768153658.449068,2754913.3142020497,PromptEnd_Trial_70
1768153658.449211,2754913.31435005,FixationStart_Trial_70
1768153659.4600532,2754914.32518745,FixationEnd_Trial_70
1768153659.4602294,2754914.32536365,PostureStart_Trial_70
1768153662.4615939,2754917.32672735,PostureEnd_Trial_70
1768153662.4617453,2754917.32688035,TrialEnd_Trial_70
1768153662.9737308,2754917.8388643498,Trial_70_Complete
1768153662.990269,2754917.8554021497,Trial_71_Start
1768153662.9903524,2754917.85548545,Posture_A_Extend_your_arm_after_the_sound
1768153662.9904408,2754917.85557375,PromptStart_Trial_71
1768153667.9904866,2754922.85562025,PromptEnd_Trial_71
1768153667.990628,2754922.85576115,FixationStart_Trial_71
1768153669.0062606,2754923.8713943497,FixationEnd_Trial_71
1768153669.0064085,2754923.87154205,PostureStart_Trial_71
1768153672.0123174,2754926.87745135,PostureEnd_Trial_71
1768153672.012484,2754926.8776180497,TrialEnd_Trial_71
1768153672.51286,2754927.37799385,Trial_71_Complete
1768153672.5300257,2754927.39515955,Trial_72_Start
1768153672.5301719,2754927.39531005,Posture_A_Rest_your_arm_extended_after_the_sound
1768153672.5303063,2754927.39544025,PromptStart_Trial_72
1768153677.5183952,2754932.38352895,PromptEnd_Trial_72
1768153677.5185452,2754932.38368045,FixationStart_Trial_72
1768153678.5335016,2754933.39863555,FixationEnd_Trial_72
